长津湖,,陈凯歌,兰晓龙,兰晓龙,7.4,剧情,历史,战争,中国大陆 ,汉语普通话 ,2021,176,电影以抗美援朝战争第二次战役中的长津湖战役为背景，讲述了一段波澜壮阔的历史：71年前，中国人民志愿军赴朝作战，在极寒严酷环境下，东线作战部队凭着钢铁意志和英勇无畏的战斗精神一路追击，奋勇杀敌，扭转了战场态势，打出了军威国威。,25845392,https://movie.douban.com/subject/25845392/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2681329386.jpg
兰心大剧院,,娄烨,马英力,马英力,7.2,剧情,,,中国大陆,汉语普通话 ,2021,126,电影根据虹影《上海之死》及横光利一《上海》改编。  1941年。著名演员于堇返回孤岛时期的上海，表面上是为了出演她的旧爱执导的话剧《礼拜六小说》。但是她真正的目的是什么？是为了救出她的前夫？为了给盟军搜集情报？为了给养父工作？还是为了和自己的爱人一起逃离战争？她真正的使命是什么?随着她着手执行任务，敌我越来越难以分辨，一个女人的命运被时代紧紧牵引，她又如何做出改变世界格局的选择?戏里戏外，谁能幸免?,26954859,https://movie.douban.com/subject/26954859/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2681336608.jpg
我和我的父辈,,吴京,俞白眉,俞白眉,6.5,剧情,,,中国大陆,汉语普通话,2021,156,"继2019年《我和我的祖国》、2020年《我和我的家乡》，国庆三部曲之《我和我的父辈》接棒定档2021年国庆。由吴京、章子怡、徐峥、沈腾导演，“中国电影追梦人”再次集结，以革命、建设、改革开放和新时代为历史坐标,通过“家与国”的视角描写几代父辈的奋斗经历，讲述中国人的血脉相连和精神传承，再现中国人努力拼搏的时代记忆。",35294995,https://movie.douban.com/subject/35294995/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2683055011.jpg
盛夏未来,,陈正道,沈洋,沈洋,7.1,剧情,,,中国大陆,汉语普通话,2021,115,即将高考的陈辰（张子枫饰）因发现妈妈（郝蕾饰）与王叔叔（祖峰饰）的“外遇”而心情低落，却在这时与校园网红郑宇星（吴磊饰）因为一个谎言意外相识。两人在未解的青春里，携手面对成长的种种难题，勇敢地面对真实的自己，亦在这个夏天过去后，见证了彼此的成长和蜕变……,35158124,https://movie.douban.com/subject/35158124/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2673420377.jpg
中国医生,,刘伟强,于勇敢,于勇敢,6.9,剧情,灾难,,中国大陆,汉语普通话,2021,129,电影根据新冠肺炎疫情防控斗争的真实事件改编，以武汉市金银潭医院为核心故事背景，同时兼顾武汉同济医院、武汉市肺科医院、武汉协和医院、武汉大学人民医院（湖北省人民医院）、火神山医院、方舱医院等兄弟单位，以武汉医护人员、全国各省市援鄂医疗队为人物原型，全景式记录波澜壮阔、艰苦卓绝的抗疫斗争。,35087699,https://movie.douban.com/subject/35087699/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2666591984.jpg
哪吒之魔童降世,,饺子,饺子,饺子,8.4,剧情,喜剧,动画,中国大陆,汉语普通话,2019,110,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？,26794435,https://movie.douban.com/subject/26794435/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg
你好，李焕英,,贾玲,贾玲,贾玲,7.7,剧情,喜剧,奇幻,中国大陆,汉语普通话,2021,128,2001年的某一天，刚刚考上大学的贾晓玲（贾玲饰）经历了人生中的一次大起大落。一心想要成为母亲骄傲的她却因母亲突遭严重意外，而悲痛万分。在贾晓玲情绪崩溃的状态下，竟意外的回到了1981年，并与年轻的母亲李焕英（张小斐饰）相遇，二人形影不离，宛如闺蜜。与此同时，也结识了一群天真善良的好朋友。晓玲以为来到了这片“广阔天地”，她可以凭借自己超前的思维，让母亲“大有作为”，但结果却让晓玲感到意外......,34841067,https://movie.douban.com/subject/34841067/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629056068.jpg
绿皮书,Green Book,彼得·法雷里,尼克·瓦莱隆加,尼克·瓦莱隆加,8.9,剧情,喜剧,音乐,美国 ,英语 ,2019,130,托尼（维果·莫腾森ViggoMortensen饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里MahershalaAli饰）的黑人钢琴家提出雇佣托尼。  唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。,27060077,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
霸王别姬,,陈凯歌,芦苇,芦苇,9.6,剧情,爱情,同性,中国大陆 ,汉语普通话,1993,171,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。  段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。,1291546,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
让子弹飞,,姜文,朱苏进,朱苏进,8.9,剧情,喜剧,动作,中国大陆 ,汉语普通话 ,2010,132,民国年间，花钱捐得县长的马邦德（葛优饰）携妻（刘嘉玲饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武饰），黄则设计害死张的义子小六（张默饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……  本片根据马识途的小说《夜谭十记》中的《盗官记》一章改编。,3742360,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
