tag,countrie,id,title,url,cover,rate
剧情,中国大陆,25845392,长津湖,https://movie.douban.com/subject/25845392/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2681329386.webp,7.4
 剧情,中国大陆,26954859,兰心大剧院,https://movie.douban.com/subject/26954859/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2681336608.webp,7.2
 剧情,中国大陆,35294995,我和我的父辈,https://movie.douban.com/subject/35294995/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2683055011.webp,6.5
 剧情,中国大陆,35158124,盛夏未来,https://movie.douban.com/subject/35158124/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2673420377.webp,7.1
 剧情,中国大陆,35087699,中国医生,https://movie.douban.com/subject/35087699/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2666591984.webp,6.9
 剧情,中国大陆,26794435,哪吒之魔童降世,https://movie.douban.com/subject/26794435/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.webp,8.4
 剧情,中国大陆,34841067,你好，李焕英,https://movie.douban.com/subject/34841067/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629056068.webp,7.7
 剧情,中国大陆,27060077,绿皮书,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.webp,8.9
 剧情,中国大陆,1291546,霸王别姬,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.webp,9.6
 剧情,中国大陆,3742360,让子弹飞,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp,8.9
 剧情,中国大陆,30166972,少年的你,https://movie.douban.com/subject/30166972/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.webp,8.2
 剧情,中国大陆,32659890,我和我的祖国,https://movie.douban.com/subject/32659890/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.webp,7.6
 剧情,中国大陆,26754233,八佰,https://movie.douban.com/subject/26754233/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2615992304.webp,7.5
 剧情,中国大陆,35051512,我和我的家乡,https://movie.douban.com/subject/35051512/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2620453443.webp,7.0
 剧情,中国大陆,25921812,驴得水,https://movie.douban.com/subject/25921812/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.webp,8.3
 剧情,中国大陆,27110296,无名之辈,https://movie.douban.com/subject/27110296/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.webp,8.0
 剧情,中国大陆,1293172,末代皇帝,https://movie.douban.com/subject/1293172/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.webp,9.3
 剧情,中国大陆,26985127,一出好戏,https://movie.douban.com/subject/26985127/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.webp,7.1
 剧情,中国大陆,30295905,中国机长,https://movie.douban.com/subject/30295905/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2568258113.webp,6.6
 剧情,中国大陆,32493124,悬崖之上,https://movie.douban.com/subject/32493124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2636475385.webp,7.6
 
